1	1.79
2	1.72
3	1.58
4	1.69
5	1.99
6	1.76
7	2.11
8	1.90
9	1.72
10	1.92
11	2.04
12	1.95
13	1.99
14	2.01
15	1.76
16	1.99
17	1.88
18	1.81
19	1.92
20	2.15
21	1.58
22	2.01
23	2.08
24	1.74
25	1.72
26	1.72
27	1.83
28	1.81
29	1.95
30	1.92
31	1.63
32	2.08
33	1.69
34	1.63
35	1.47
36	1.65
37	1.51
38	1.51
39	1.79
40	1.40
41	1.76
42	1.35
43	1.17
44	1.37
45	1.56
46	1.33
47	1.40
48	1.37
49	1.60
50	1.37
51	1.44
52	1.60
53	1.28
54	1.49
55	1.33
56	1.35
57	1.33
58	1.37
59	1.47
60	0.02
61	0.05
62	0.09
63	0.07
64	0.09
65	0.05
66	0.05
67	0.05
68	0.09
69	0.11
